Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ATAX,"America First Multifamily Investors, L.P.",5.75,346454336,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",12.7496,110842714.7,8693819,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",49.64,25719732744,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aal
ACSF,"American Capital Senior Floating, Ltd.",11.85,118501185,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acsf
ACAS,"American Capital, Ltd.",17.69,3823296360,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acas
AETI,"American Electric Technologies, Inc.",1.6,13337548.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aeti
AMNB,"American National Bankshares, Inc.",34.7,298956913.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,131.18,3530646209,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anat
APEI,"American Public Education, Inc.",26.15,420909249.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",47.23,914459325.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,14.665,97618951.01,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",10.99,319848893.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,8.09,114871544.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,82.15,1334985886,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",46.45,363997760.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,47.2,1648222773,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",65.5,1259573843,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,3.8,71833193.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,26.23,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asrvp
